Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history
Fabrício,150479,,,"Jan 7, 1986",40,1.93,Brazil,['Brazil'],Goalkeeper,,Figueirense FC,,,"Jan 1, 2025","Nov 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Cauly,162812,€4.50m,"Dec 10, 2025","Sep 15, 1995",30,1.75,Brazil,"['Brazil', 'Germany']",Attacking Midfield,"              0
0  Right Winger
1   Left Winger",EC Bahia,,,"Feb 1, 2023","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Vitinho,1072630,€500k,"Dec 10, 2025","Feb 18, 2004",21,1.73,Brazil,['Brazil'],Central Midfield,"                    0
0  Attacking Midfield
1           Left-Back",Cruzeiro,,,"Jan 1, 2024","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Leandro Mathias,838386,,,"Nov 14, 2004",21,1.88,Brazil,['Brazil'],Goalkeeper,,Botafogo-PB,,,"Jan 1, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Bruno Pacheco,435163,€250k,"Dec 10, 2025","Dec 8, 1991",34,1.75,Brazil,['Brazil'],Left-Back,,Chapecoense,,,"Jan 13, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Marcos Felipe,283166,€3.00m,"Dec 17, 2025","Apr 13, 1996",29,1.88,Brazil,[],Goalkeeper,,Eyüpspor,,,"Aug 14, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Reynaldo,514297,€1.00m,"Nov 24, 2025","Jan 3, 1997",29,1.86,Brazil,['Brazil'],Centre-Back,,Remo,,,"Jan 1, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Mauricio,678439,€12.00m,"Dec 10, 2025","Jun 22, 2001",24,1.74,Brazil,"['Brazil', 'Paraguay']",Attacking Midfield,"              0
0  Right Winger
1   Left Winger",Palmeiras,,,"Jul 10, 2024","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Alex Teixeira,66515,€175k,"Oct 21, 2025","Jan 6, 1990",36,1.73,Brazil,['Brazil'],Second Striker,"                    0
0      Centre-Forward
1  Attacking Midfield",Panserraikos,,,"Jan 15, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Fernando,51174,€500k,"Oct 21, 2025","Jul 25, 1987",38,1.83,Brazil,"['Brazil', 'Portugal']",Defensive Midfield,"             0
0  Centre-Back",Without Club,Internacional,"Aug 13, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Gerson,341705,€18.00m,"Dec 16, 2025","May 20, 1997",28,1.84,Brazil,[],Central Midfield,,Cruzeiro,,,"Jan 10, 2026","Dec 31, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Riquelme Fillipi,1124298,,,"Sep 15, 2006",19,1.76,Brazil,['Brazil'],Left Winger,"              0
0  Right Winger",Palmeiras,,,"Jan 1, 2026","Dec 31, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Guilherme Henrique,1084128,,,"Dec 26, 2006",19,1.72,Brazil,['Brazil'],Left Winger,"                0
0    Right Winger
1  Second Striker",Atlético-GO U20,,,"Sep 3, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Mayke,147361,€2.00m,"Dec 10, 2025","Nov 10, 1992",33,1.78,Brazil,['Brazil'],Right-Back,"                0
0  Right Midfield
1    Right Winger",Santos,,,"Jul 30, 2025","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Jardiel,976951,€700k,"Mar 28, 2025","Mar 21, 2005",20,1.86,Brazil,['Brazil'],Centre-Forward,,Novorizontino,,,"Jan 9, 2026","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Allan,126422,€1.50m,"Dec 10, 2025","Jan 8, 1991",35,1.75,Brazil,[],Defensive Midfield,,Botafogo,,,"Jul 10, 2024","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
José Manuel López,844797,€20.00m,"Dec 10, 2025","Dec 6, 2000",25,1.9,Argentina,['Argentina'],Centre-Forward,"                0
0  Second Striker",Palmeiras,,,"Jul 18, 2022","Dec 31, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Ivan Cavaleiro,149716,€500k,"Dec 18, 2025","Oct 18, 1993",32,1.75,Angola,"['Angola', 'Portugal']",Left Winger,"                0
0    Right Winger
1  Centre-Forward",Tondela,,,"Aug 19, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Felipe Teresa,1220446,,,"Jan 2, 2006",20,1.82,Brazil,['Brazil'],Right Winger,"                0
0  Second Striker
1  Centre-Forward",Palmeiras U20,,,"Oct 2, 2025","Sep 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Luis Miguel,1223828,,,"Feb 4, 2005",20,1.71,Brazil,['Brazil'],Left Winger,"              0
0  Right Winger",Vitória U20,,,-,-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Ferreirinha,689017,€7.00m,"Dec 10, 2025","Dec 31, 1997",28,1.76,Brazil,[],Left Winger,,São Paulo,,,"Jan 9, 2024","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Luiz Fernando,372013,€1.80m,"Nov 24, 2025","Oct 16, 1996",29,1.78,Brazil,['Brazil'],Left Winger,"                    0
0        Right Winger
1  Attacking Midfield",Athletico-PR,,,"Jan 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Deivid Andrade,1094863,,,"Jun 1, 2005",20,1.96,Brazil,['Brazil'],Goalkeeper,,Ceará U20,,,"Feb 27, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Adryelson,373433,€3.00m,"Nov 28, 2025","Mar 23, 1998",27,1.82,Brazil,['Brazil'],Centre-Back,,Al-Wasl,,,"Jul 16, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Brenno,555016,€700k,"Dec 10, 2025","Apr 1, 1999",26,1.9,Brazil,"['Brazil', 'Italy']",Goalkeeper,,Fortaleza,,,"Jan 1, 2025","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Ivan Cavaleiro,149716,€500k,"Dec 18, 2025","Oct 18, 1993",32,1.75,Angola,[],Left Winger,,Tondela,,,"Aug 19, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Fábio,22415,€75k,"Dec 10, 2025","Sep 30, 1980",45,1.88,Brazil,"['Brazil', 'Italy']",Goalkeeper,,Fluminense,,,"Jan 19, 2022","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Alan Ruschel,75080,€100k,"Dec 10, 2025","Aug 23, 1989",36,1.76,Brazil,[],Left-Back,,Juventude,,,"Jan 1, 2023",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
John Victor,432914,€7.00m,"Dec 9, 2025","Feb 13, 1996",29,1.97,Brazil,"['Brazil', 'Portugal']",Goalkeeper,,Nott'm Forest,,,"Aug 31, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
João Victor,671145,€5.00m,"Dec 16, 2025","Jul 17, 1998",27,1.9,Brazil,['Brazil'],Centre-Back,"            0
0  Right-Back",CSKA Moscow,,,"Aug 20, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Franco Cristaldo,332259,€4.00m,"Dec 10, 2025","Aug 15, 1996",29,1.75,Argentina,"['Paraguay', 'Argentina']",Attacking Midfield,"                  0
0  Central Midfield
1    Centre-Forward",Grêmio,,,"Jan 1, 2023","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Adson,868891,€2.50m,"Dec 10, 2025","Oct 6, 2000",25,1.71,Brazil,[],Right Winger,,Vasco da Gama,,,"Jan 24, 2024","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Emmanuel Martínez,360526,€1.20m,"Dec 10, 2025","Jun 4, 1994",31,1.69,Argentina,['Argentina'],Attacking Midfield,"                    0
0    Central Midfield
1  Defensive Midfield",Without Club,Fortaleza,"Jan 20, 2026",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Júnior Alonso,273000,€3.00m,"Dec 10, 2025","Feb 9, 1993",32,1.85,Paraguay,[],Centre-Back,,Atlético-MG,,,"Jul 10, 2024","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Ronaldo,405768,€1.00m,"Dec 10, 2025","Oct 23, 1996",29,1.79,Brazil,[],Defensive Midfield,,Internacional,,,"Jan 10, 2025","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Cristian Zapata,34344,,,"Sep 30, 1986",39,1.87,Colombia,[],Centre-Back,,Without Club,A. Bucaramanga,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Iba Ly,1127817,,,"Jan 22, 2003",22,1.75,Senegal,['Senegal'],Defensive Midfield,"                  0
0  Central Midfield",Juventude,,,"Jan 2, 2026","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Magrão,818068,€300k,"Dec 10, 2025","May 15, 2000",25,1.97,Brazil,['Brazil'],Goalkeeper,,Fortaleza,,,"Aug 6, 2024","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Souza,73741,,,"Feb 11, 1989",36,1.88,Brazil,['Brazil'],Defensive Midfield,"                  0
0  Central Midfield
1       Centre-Back",Retired,Vasco da Gama,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Nathan,740273,€1.50m,"Nov 24, 2025","Sep 5, 2001",24,1.83,Brazil,[],Right-Back,,Santos,,,"Aug 5, 2022","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Hyoran,338861,€700k,"Dec 10, 2025","May 25, 1993",32,1.74,Brazil,[],Attacking Midfield,,Internacional,,,"Jan 8, 2024","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Marcelo Benevenuto,476339,€1.00m,"Dec 10, 2025","Jan 7, 1996",30,1.81,Brazil,['Brazil'],Centre-Back,,Fortaleza,,,"Jan 5, 2022","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Victor Sá,381724,€3.00m,"Dec 16, 2025","Mar 27, 1994",31,1.78,Brazil,[],Left Winger,,Krasnodar,,,"Feb 22, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Felipe Andrade,884070,€1.50m,"Dec 11, 2025","May 29, 2002",23,1.82,Brazil,['Brazil'],Centre-Back,"           0
0  Left-Back",Fluminense,,,"Jul 19, 2023",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Agustín Rogel,456535,€500k,"Dec 16, 2025","Oct 17, 1997",28,1.91,Uruguay,"['Uruguay', 'Italy']",Centre-Back,,Hertha BSC,,,"Aug 31, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Paulo Souto,1115716,,,"Aug 21, 2006",19,,Brazil,['Brazil'],Defensive Midfield,"                  0
0  Central Midfield",Fortaleza U20,,,"Aug 25, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Ronie Carrillo,348039,€500k,"Nov 24, 2025","Sep 8, 1996",29,1.86,Ecuador,[],Centre-Forward,,Without Club,Botafogo-SP,"Jan 1, 2026",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Matheus Rossetto,445000,€1.50m,"Dec 10, 2025","Jun 3, 1996",29,1.8,Brazil,"['Brazil', 'Italy']",Central Midfield,"                    0
0  Defensive Midfield
1  Attacking Midfield",Fortaleza,,,"Feb 23, 2024","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Rodrigo Garro,565009,€12.00m,"Dec 10, 2025","Jan 4, 1998",28,1.74,Argentina,[],Attacking Midfield,,Corinthians,,,"Jan 2, 2024","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Óscar Estupiñán,388266,€3.80m,"Dec 29, 2025","Dec 29, 1996",29,1.88,Colombia,['Colombia'],Centre-Forward,,FC Juárez,,,"Aug 29, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Gustavo Barreto,348262,€325k,"Dec 15, 2025","Dec 10, 1995",30,1.81,Brazil,"['Brazil', 'Italy']",Defensive Midfield,"                  0
0  Central Midfield",Kyoto Sanga,,,"Jul 27, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Victor Cuesta,104326,€250k,"Dec 17, 2025","Nov 19, 1988",37,1.87,Argentina,[],Centre-Back,,Without Club,Newell's,"Jan 1, 2026",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Everaldo,205041,€400k,"Dec 10, 2025","Jul 5, 1991",34,1.82,Brazil,[],Centre-Forward,,Fluminense,,,"Feb 19, 2025","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Victor Cuesta,104326,€250k,"Dec 17, 2025","Nov 19, 1988",37,1.87,Argentina,"['Brazil', 'Argentina']",Centre-Back,,Without Club,Newell's,"Jan 1, 2026",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Camutanga,607817,€300k,"Dec 10, 2025","Sep 27, 1993",32,1.89,Brazil,[],Centre-Back,,EC Vitória,,,"Jan 1, 2023","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Abner,1086632,€1.00m,"Dec 10, 2025","Apr 19, 2004",21,1.89,Brazil,['Brazil'],Centre-Back,,Juventude,,,"Jan 1, 2025","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Jhonata Robert,711338,€1.80m,"Nov 24, 2025","Oct 26, 1999",26,1.79,Brazil,[],Right Winger,,Criciúma,,,"Aug 27, 2024","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Manoel,113586,€150k,"Dec 10, 2025","Feb 26, 1990",35,1.81,Brazil,[],Centre-Back,,Without Club,Fluminense,"Jan 1, 2026",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Thiago Galhardo,186399,,,"Jul 20, 1989",36,1.83,Brazil,"['Brazil', 'Italy']",Centre-Forward,"                    0
0      Second Striker
1  Attacking Midfield",Without Club,Santa Cruz-PE,"Nov 27, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Kauã Moroso,1033571,€250k,"Nov 24, 2025","Mar 11, 2004",21,1.9,Brazil,['Brazil'],Goalkeeper,,Criciúma,,,"Jan 1, 2025","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Henrique Carmo,1009031,€3.50m,"Dec 16, 2025","Nov 9, 2006",19,1.73,Brazil,['Brazil'],Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",CSKA Moscow,,,"Sep 11, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Marinho,74758,€300k,"Dec 10, 2025","May 29, 1990",35,1.69,Brazil,[],Right Winger,,Fortaleza,,,"Jul 1, 2023",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Lucas Mineiro,432958,€1.00m,"Nov 24, 2025","Feb 24, 1996",29,1.88,Brazil,['Brazil'],Defensive Midfield,"                  0
0  Central Midfield",Juventude,,,"Jan 6, 2026","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Lautaro Díaz,720294,€1.50m,"Dec 10, 2025","May 21, 1998",27,1.81,Argentina,['Argentina'],Centre-Forward,"              0
0  Right Winger
1   Left Winger",Santos,,,"Sep 2, 2025","Jul 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Gregore,546036,€4.50m,"Dec 30, 2025","Mar 2, 1994",31,1.81,Brazil,[],Defensive Midfield,,Al-Rayyan,,,"Jul 19, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Fabrício,722457,€100k,"Dec 10, 2025","Jun 15, 2000",25,1.9,Brazil,[],Goalkeeper,,RB Bragantino,,,"Jan 1, 2025","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Isaac,1083069,€700k,"Dec 10, 2025","Mar 26, 2004",21,1.85,Brazil,"['Brazil', 'Croatia']",Centre-Forward,"                0
0  Second Striker",Hellas Verona,,,"Jan 9, 2026","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Pedro Lucas,718208,€600k,"Nov 24, 2025","Jul 26, 2002",23,1.73,Brazil,[],Attacking Midfield,,EC São José,,,"Jan 7, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Victor Luís,234538,€400k,"Dec 10, 2025","Jun 23, 1993",32,1.77,Brazil,"['Lithuania', 'Brazil']",Left-Back,,Vasco da Gama,,,"Feb 5, 2024","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Emerson Urso,868885,€450k,"Nov 24, 2025","May 13, 2001",24,1.69,Brazil,['Brazil'],Left Winger,"              0
0  Right Winger",Vila Nova FC,,,"Jan 1, 2025","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Gustavo Scarpa,330085,€6.00m,"Dec 10, 2025","Jan 5, 1994",32,1.77,Brazil,[],Attacking Midfield,,Atlético-MG,,,"Jan 11, 2024","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Braian Aguirre,829378,€2.50m,"Dec 10, 2025","Jul 28, 2000",25,1.75,Argentina,[],Right-Back,,Internacional,,,"Sep 2, 2024","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Marlon,406675,€4.00m,"Dec 10, 2025","May 20, 1997",28,1.78,Brazil,[],Left-Back,,Grêmio,,,"Jan 1, 2026","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Paulinho,1083888,€400k,"Dec 10, 2025","May 23, 2005",20,1.75,Brazil,['Brazil'],Right-Back,"                0
0  Right Midfield",Vasco da Gama,,,"Jun 1, 2025","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Jorginho,155470,,,"Jan 5, 1991",35,1.8,Brazil,['Brazil'],Attacking Midfield,"              0
0  Right Winger
1   Left Winger",Figueirense FC,,,"Jan 1, 2026",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Robert Renan,958598,€9.00m,"Dec 10, 2025","Oct 11, 2003",22,1.86,Brazil,['Brazil'],Centre-Back,"           0
0  Left-Back",Vasco da Gama,,,"Aug 25, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Felipe Vieira,527192,€250k,"Nov 24, 2025","May 4, 1999",26,1.76,Brazil,['Brazil'],Left-Back,,EC Vitória,,,"Jan 1, 2024","Dec 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Pedro Paranhos,1096258,€100k,"Dec 10, 2025","Oct 12, 2006",19,,Brazil,['Brazil'],Centre-Forward,"              0
0  Right Winger
1   Left Winger",Atlético-MG U20,,,"Feb 11, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Lucas Romero,242201,€2.80m,"Dec 10, 2025","Apr 18, 1994",31,1.67,Argentina,"['Italy', 'Argentina']",Defensive Midfield,"                  0
0  Central Midfield",Cruzeiro,,,"Jan 9, 2024","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Felipe Scheibig,896667,€200k,"Dec 22, 2025","Mar 8, 2000",25,1.96,Brazil,['Brazil'],Goalkeeper,,Felgueiras,,,"Sep 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Thiago Silva,29241,€600k,"Dec 10, 2025","Sep 22, 1984",41,1.81,Brazil,[],Centre-Back,,Porto,,,"Jan 1, 2026","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Murilo,458710,€5.00m,"Dec 10, 2025","Mar 27, 1997",28,1.88,Brazil,['Brazil'],Centre-Back,,Palmeiras,,,"Jan 19, 2022","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Léo,1042363,,,"May 5, 2002",23,1.87,Brazil,['Brazil'],Goalkeeper,,Atlético-GO,,,"Aug 1, 2022",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
José Andrés Hurtado,680506,€3.00m,"Dec 10, 2025","Dec 23, 2001",24,1.78,Ecuador,['Ecuador'],Right-Back,,RB Bragantino,,,"Jan 18, 2022","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Eliel Costa,838057,,,"Mar 24, 2003",22,1.7,Brazil,['Brazil'],Defensive Midfield,"                  0
0  Central Midfield
1       Centre-Back",Criciúma,,,"Jan 31, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Yuri Leles,1130185,,,"Apr 17, 2007",18,,Brazil,['Brazil'],Attacking Midfield,"                0
0  Second Striker",Bragantino U20,,,-,"Dec 31, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Pablo Maia,892089,€7.00m,"Dec 10, 2025","Jan 10, 2002",24,1.78,Brazil,['Brazil'],Defensive Midfield,"                    0
0    Central Midfield
1  Attacking Midfield",São Paulo,,,"Jan 1, 2022","Dec 31, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Gabriel,79242,€500k,"Dec 10, 2025","Sep 27, 1992",33,1.94,Brazil,['Brazil'],Goalkeeper,,EC Vitória,,,"Jan 13, 2025","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
Eduardo Melo,738503,€75k,"Nov 24, 2025","May 13, 2001",24,1.85,Brazil,[],Centre-Forward,,Remo,,,"Aug 21, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
